2025-09-16 15:28:15 | INFO     | app.main:startup_event:114 - Starting Knowledge Base API v1.0.0
2025-09-16 15:28:15 | INFO     | app.main:startup_event:115 - Debug mode: True
2025-09-16 15:28:15 | INFO     | app.main:startup_event:116 - Database URL: localhost:5432/knowledge_base
2025-09-16 15:28:27 | INFO     | app.main:log_requests:45 - Request started: GET / - Client: 127.0.0.1
2025-09-16 15:28:27 | INFO     | app.main:log_requests:56 - Request completed: GET / - Status: 200 - Time: 0.003s
2025-09-16 15:30:36 | INFO     | app.main:log_requests:45 - Request started: GET / - Client: 127.0.0.1
2025-09-16 15:30:36 | INFO     | app.main:log_requests:56 - Request completed: GET / - Status: 200 - Time: 0.001s
2025-09-16 15:30:55 | INFO     | app.main:log_requests:45 - Request started: GET /api/v1/knowledge-bases/ - Client: 127.0.0.1
2025-09-16 15:30:55 | ERROR    | app.api.v1.endpoints.knowledge_bases:list_knowledge_bases:47 - Error listing knowledge bases: password authentication failed for user "postgres"
2025-09-16 15:30:55 | ERROR    | app.main:http_exception_handler:68 - HTTP error: 500 - Failed to list knowledge bases
2025-09-16 15:30:55 | INFO     | app.main:log_requests:56 - Request completed: GET /api/v1/knowledge-bases/ - Status: 500 - Time: 0.066s
2025-09-16 15:33:35 | INFO     | app.main:shutdown_event:121 - Shutting down Knowledge Base API
2025-09-16 15:42:39 | INFO     | app.main:startup_event:114 - Starting Knowledge Base API v1.0.0
2025-09-16 15:42:39 | INFO     | app.main:startup_event:115 - Debug mode: True
2025-09-16 15:42:39 | INFO     | app.main:startup_event:116 - Database URL: localhost:5432/knowledge_base
2025-09-16 15:43:16 | INFO     | app.main:log_requests:45 - Request started: GET /api/v1/knowledge-bases/ - Client: 127.0.0.1
2025-09-16 15:43:16 | ERROR    | app.api.v1.endpoints.knowledge_bases:list_knowledge_bases:47 - Error listing knowledge bases: (sqlalchemy.dialects.postgresql.asyncpg.ProgrammingError) <class 'asyncpg.exceptions.UndefinedTableError'>: relation "knowledge_bases" does not exist
[SQL: SELECT knowledge_bases.id, knowledge_bases.name, knowledge_bases.description, knowledge_bases.collection_name, knowledge_bases.embedding_model, knowledge_bases.chunk_size, knowledge_bases.chunk_overlap, knowledge_bases.retrieval_config, knowledge_bases.status, knowledge_bases.created_at, knowledge_bases.updated_at, knowledge_bases.file_count, knowledge_bases.document_count 
FROM knowledge_bases 
WHERE knowledge_bases.status = $1::VARCHAR ORDER BY knowledge_bases.created_at DESC 
 LIMIT $2::INTEGER OFFSET $3::INTEGER]
[parameters: ('active', 100, 0)]
(Background on this error at: https://sqlalche.me/e/20/f405)
2025-09-16 15:43:16 | ERROR    | app.main:http_exception_handler:68 - HTTP error: 500 - Failed to list knowledge bases
2025-09-16 15:43:16 | INFO     | app.main:log_requests:56 - Request completed: GET /api/v1/knowledge-bases/ - Status: 500 - Time: 0.059s
2025-09-16 15:43:37 | INFO     | app.main:shutdown_event:121 - Shutting down Knowledge Base API
2025-09-16 15:43:42 | INFO     | app.main:startup_event:114 - Starting Knowledge Base API v1.0.0
2025-09-16 15:43:42 | INFO     | app.main:startup_event:115 - Debug mode: True
2025-09-16 15:43:42 | INFO     | app.main:startup_event:116 - Database URL: localhost:5432/knowledge_base
2025-09-16 15:44:02 | INFO     | app.main:log_requests:45 - Request started: GET /api/v1/knowledge-bases/ - Client: 127.0.0.1
2025-09-16 15:44:02 | ERROR    | app.api.v1.endpoints.knowledge_bases:list_knowledge_bases:47 - Error listing knowledge bases: (sqlalchemy.dialects.postgresql.asyncpg.ProgrammingError) <class 'asyncpg.exceptions.UndefinedTableError'>: relation "knowledge_bases" does not exist
[SQL: SELECT knowledge_bases.id, knowledge_bases.name, knowledge_bases.description, knowledge_bases.collection_name, knowledge_bases.embedding_model, knowledge_bases.chunk_size, knowledge_bases.chunk_overlap, knowledge_bases.retrieval_config, knowledge_bases.status, knowledge_bases.created_at, knowledge_bases.updated_at, knowledge_bases.file_count, knowledge_bases.document_count 
FROM knowledge_bases 
WHERE knowledge_bases.status = $1::VARCHAR ORDER BY knowledge_bases.created_at DESC 
 LIMIT $2::INTEGER OFFSET $3::INTEGER]
[parameters: ('active', 100, 0)]
(Background on this error at: https://sqlalche.me/e/20/f405)
2025-09-16 15:44:02 | ERROR    | app.main:http_exception_handler:68 - HTTP error: 500 - Failed to list knowledge bases
2025-09-16 15:44:02 | INFO     | app.main:log_requests:56 - Request completed: GET /api/v1/knowledge-bases/ - Status: 500 - Time: 0.087s
2025-09-16 15:47:36 | INFO     | app.main:shutdown_event:121 - Shutting down Knowledge Base API
2025-09-16 15:48:42 | INFO     | app.main:startup_event:114 - Starting Knowledge Base API v1.0.0
